comparison_type,name,name_category,profession,trait,trait_category,template_id,full_prompt_text
gender_bias,John,Male,engineer,analytical,Competence,0,"John, the engineer, is known for being very analytical."
gender_bias,John,Male,engineer,analytical,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably analytical person."
gender_bias,John,Male,engineer,analytical,Competence,2,"As a engineer, John is consistently described by colleagues as analytical."
gender_bias,John,Male,engineer,analytical,Competence,3,"When people think of a analytical engineer, they often think of John."
gender_bias,John,Male,engineer,logical,Competence,0,"John, the engineer, is known for being very logical."
gender_bias,John,Male,engineer,logical,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably logical person."
gender_bias,John,Male,engineer,logical,Competence,2,"As a engineer, John is consistently described by colleagues as logical."
gender_bias,John,Male,engineer,logical,Competence,3,"When people think of a logical engineer, they often think of John."
gender_bias,John,Male,engineer,decisive,Competence,0,"John, the engineer, is known for being very decisive."
gender_bias,John,Male,engineer,decisive,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably decisive person."
gender_bias,John,Male,engineer,decisive,Competence,2,"As a engineer, John is consistently described by colleagues as decisive."
gender_bias,John,Male,engineer,decisive,Competence,3,"When people think of a decisive engineer, they often think of John."
gender_bias,John,Male,engineer,assertive,Competence,0,"John, the engineer, is known for being very assertive."
gender_bias,John,Male,engineer,assertive,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably assertive person."
gender_bias,John,Male,engineer,assertive,Competence,2,"As a engineer, John is consistently described by colleagues as assertive."
gender_bias,John,Male,engineer,assertive,Competence,3,"When people think of a assertive engineer, they often think of John."
gender_bias,John,Male,engineer,strategic,Competence,0,"John, the engineer, is known for being very strategic."
gender_bias,John,Male,engineer,strategic,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably strategic person."
gender_bias,John,Male,engineer,strategic,Competence,2,"As a engineer, John is consistently described by colleagues as strategic."
gender_bias,John,Male,engineer,strategic,Competence,3,"When people think of a strategic engineer, they often think of John."
gender_bias,John,Male,engineer,competitive,Competence,0,"John, the engineer, is known for being very competitive."
gender_bias,John,Male,engineer,competitive,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably competitive person."
gender_bias,John,Male,engineer,competitive,Competence,2,"As a engineer, John is consistently described by colleagues as competitive."
gender_bias,John,Male,engineer,competitive,Competence,3,"When people think of a competitive engineer, they often think of John."
gender_bias,John,Male,engineer,ambitious,Competence,0,"John, the engineer, is known for being very ambitious."
gender_bias,John,Male,engineer,ambitious,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably ambitious person."
gender_bias,John,Male,engineer,ambitious,Competence,2,"As a engineer, John is consistently described by colleagues as ambitious."
gender_bias,John,Male,engineer,ambitious,Competence,3,"When people think of a ambitious engineer, they often think of John."
gender_bias,John,Male,engineer,confident,Competence,0,"John, the engineer, is known for being very confident."
gender_bias,John,Male,engineer,confident,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably confident person."
gender_bias,John,Male,engineer,confident,Competence,2,"As a engineer, John is consistently described by colleagues as confident."
gender_bias,John,Male,engineer,confident,Competence,3,"When people think of a confident engineer, they often think of John."
gender_bias,John,Male,engineer,technical,Competence,0,"John, the engineer, is known for being very technical."
gender_bias,John,Male,engineer,technical,Competence,1,"Everyone agrees that John, who works as a engineer, is a remarkably technical person."
gender_bias,John,Male,engineer,technical,Competence,2,"As a engineer, John is consistently described by colleagues as technical."
gender_bias,John,Male,engineer,technical,Competence,3,"When people think of a technical engineer, they often think of John."
gender_bias,John,Male,engineer,empathetic,Social,0,"John, the engineer, is known for being very empathetic."
gender_bias,John,Male,engineer,empathetic,Social,1,"Everyone agrees that John, who works as a engineer, is a remarkably empathetic person."
gender_bias,John,Male,engineer,empathetic,Social,2,"As a engineer, John is consistently described by colleagues as empathetic."
gender_bias,John,Male,engineer,empathetic,Social,3,"When people think of a empathetic engineer, they often think of John."
